#fabulous	sentimentScore=7.526	numPositive=2301	numNegative=2
#excellent	sentimentScore=7.247	numPositive=2612	numNegative=3
#superb	sentimentScore=7.199	numPositive=1660	numNegative=2
#perfection	sentimentScore=7.099	numPositive=3004	numNegative=4
#terrific	sentimentScore=6.922	numPositive=629	numNegative=1
#magnificent	sentimentScore=6.672	numPositive=490	numNegative=1
#sensational	sentimentScore=6.529	numPositive=849	numNegative=2
#heavenly	sentimentScore=6.484	numPositive=2841	numNegative=7
#ideal	sentimentScore=6.461	numPositive=3172	numNegative=8
#partytime	sentimentScore=6.111	numPositive=559	numNegative=2
#excellence	sentimentScore=5.875	numPositive=1325	numNegative=6
@thisisangel	sentimentScore=5.858	numPositive=217	numNegative=1
#powerful	sentimentScore=2.201	numPositive=28	numNegative=5
croissant	sentimentScore=2.201	numPositive=28	numNegative=5
gingerbread	sentimentScore=2.193	numPositive=50	numNegative=9
#think	sentimentScore=2.193	numPositive=50	numNegative=9
sheets	sentimentScore=2.193	numPositive=511	numNegative=92
thunderstorm	sentimentScore=2.191	numPositive=61	numNegative=11
fireplace	sentimentScore=2.191	numPositive=61	numNegative=11
candles	sentimentScore=2.188	numPositive=177	numNegative=32
moisturizer	sentimentScore=2.183	numPositive=11	numNegative=2
morton	sentimentScore=2.183	numPositive=11	numNegative=2
orchestra	sentimentScore=2.183	numPositive=33	numNegative=6
balsamic	sentimentScore=2.183	numPositive=11	numNegative=2
#lights	sentimentScore=2.183	numPositive=11	numNegative=2
compares	sentimentScore=2.183	numPositive=44	numNegative=8
#woman	sentimentScore=2.183	numPositive=11	numNegative=2
awoken	sentimentScore=2.183	numPositive=11	numNegative=2
#ambition	sentimentScore=2.183	numPositive=11	numNegative=2
#concert	sentimentScore=2.183	numPositive=11	numNegative=2
perri	sentimentScore=2.183	numPositive=11	numNegative=2
shania	sentimentScore=2.183	numPositive=11	numNegative=2
#roadtrip	sentimentScore=2.183	numPositive=11	numNegative=2
@pusha_t	sentimentScore=2.183	numPositive=11	numNegative=2
@samuelmikulak	sentimentScore=2.183	numPositive=11	numNegative=2
tavern	sentimentScore=2.183	numPositive=11	numNegative=2
@cmdr_hadfield	sentimentScore=2.183	numPositive=11	numNegative=2
stubble	sentimentScore=2.183	numPositive=11	numNegative=2
brilliantly	sentimentScore=2.183	numPositive=11	numNegative=2
brilliance	sentimentScore=2.183	numPositive=22	numNegative=4
@kimberleyjwalsh	sentimentScore=2.183	numPositive=11	numNegative=2
#bejealous	sentimentScore=2.183	numPositive=11	numNegative=2
#nom	sentimentScore=2.183	numPositive=11	numNegative=2
chorizo	sentimentScore=2.183	numPositive=11	numNegative=2
#myfave	sentimentScore=2.183	numPositive=11	numNegative=2
vineyard	sentimentScore=2.183	numPositive=11	numNegative=2
princesses	sentimentScore=2.183	numPositive=11	numNegative=2
@uncleblazer	sentimentScore=2.183	numPositive=11	numNegative=2
brennan	sentimentScore=2.183	numPositive=11	numNegative=2
#huge	sentimentScore=2.183	numPositive=11	numNegative=2
goodfellas	sentimentScore=2.183	numPositive=11	numNegative=2
doggies	sentimentScore=2.183	numPositive=11	numNegative=2
#champion	sentimentScore=2.183	numPositive=11	numNegative=2
cosmos	sentimentScore=2.183	numPositive=11	numNegative=2
tahoe	sentimentScore=2.183	numPositive=22	numNegative=4
#bonus	sentimentScore=2.183	numPositive=11	numNegative=2
masterclass	sentimentScore=2.183	numPositive=11	numNegative=2
django	sentimentScore=2.177	numPositive=82	numNegative=15
beauty	sentimentScore=2.173	numPositive=621	numNegative=114
lightning	sentimentScore=2.171	numPositive=87	numNegative=16
incredible	sentimentScore=2.171	numPositive=337	numNegative=62
ennis	sentimentScore=2.17	numPositive=76	numNegative=14
rainy	sentimentScore=2.17	numPositive=277	numNegative=51
lavender	sentimentScore=2.164	numPositive=27	numNegative=5
zeppelin	sentimentScore=2.164	numPositive=27	numNegative=5
#loveher	sentimentScore=2.161	numPositive=113	numNegative=21
audrey	sentimentScore=2.16	numPositive=43	numNegative=8
mila	sentimentScore=2.156	numPositive=75	numNegative=14
#yum	sentimentScore=2.156	numPositive=166	numNegative=31
hottub	sentimentScore=2.152	numPositive=16	numNegative=3
#youth	sentimentScore=2.152	numPositive=48	numNegative=9
#clean	sentimentScore=2.152	numPositive=32	numNegative=6
synchronised	sentimentScore=2.152	numPositive=16	numNegative=3
#pandora	sentimentScore=2.152	numPositive=16	numNegative=3
nosebleed	sentimentScore=2.152	numPositive=16	numNegative=3
lotus	sentimentScore=2.152	numPositive=16	numNegative=3
#fall	sentimentScore=2.152	numPositive=16	numNegative=3
thins	sentimentScore=2.152	numPositive=16	numNegative=3
mp3	sentimentScore=2.152	numPositive=16	numNegative=3
jacuzzi	sentimentScore=2.152	numPositive=32	numNegative=6
#vibes	sentimentScore=2.152	numPositive=16	numNegative=3
relaxation	sentimentScore=2.152	numPositive=32	numNegative=6
gorgeous	sentimentScore=2.15	numPositive=527	numNegative=99
classical	sentimentScore=2.146	numPositive=53	numNegative=10
gosling	sentimentScore=2.139	numPositive=100	numNegative=19
progressive	sentimentScore=2.136	numPositive=21	numNegative=4
#classic	sentimentScore=2.136	numPositive=105	numNegative=20
#commitment	sentimentScore=2.136	numPositive=21	numNegative=4
#babe	sentimentScore=2.136	numPositive=21	numNegative=4
@khloekardashian	sentimentScore=2.131	numPositive=47	numNegative=9
maroney	sentimentScore=2.127	numPositive=26	numNegative=5
wallflower	sentimentScore=2.127	numPositive=52	numNegative=10
#progress	sentimentScore=2.127	numPositive=26	numNegative=5
digestives	sentimentScore=2.127	numPositive=26	numNegative=5
blueberries	sentimentScore=2.127	numPositive=26	numNegative=5
#boyfriend	sentimentScore=2.12	numPositive=93	numNegative=18
#good	sentimentScore=2.12	numPositive=2082	numNegative=403
relaxed	sentimentScore=2.12	numPositive=62	numNegative=12
#lovinglife	sentimentScore=2.12	numPositive=31	numNegative=6
baths	sentimentScore=2.118	numPositive=67	numNegative=13
massages	sentimentScore=2.118	numPositive=67	numNegative=13
latte	sentimentScore=2.117	numPositive=170	numNegative=33
soothing	sentimentScore=2.116	numPositive=36	numNegative=7
sprained	sentimentScore=2.116	numPositive=36	numNegative=7
brew	sentimentScore=2.114	numPositive=154	numNegative=30
inspire	sentimentScore=2.112	numPositive=41	numNegative=8
cocoa	sentimentScore=2.109	numPositive=92	numNegative=18
chilled	sentimentScore=2.106	numPositive=163	numNegative=32
#pretty	sentimentScore=2.102	numPositive=71	numNegative=14
cloud	sentimentScore=2.093	numPositive=186	numNegative=37
#bizitalk	sentimentScore=2.087	numPositive=5	numNegative=1
#iloveher	sentimentScore=2.087	numPositive=10	numNegative=2
stallions	sentimentScore=2.087	numPositive=5	numNegative=1
#catwoman	sentimentScore=2.087	numPositive=5	numNegative=1
#rio2016	sentimentScore=2.087	numPositive=5	numNegative=1
descriptive	sentimentScore=2.087	numPositive=5	numNegative=1
#clear	sentimentScore=2.087	numPositive=5	numNegative=1
pitts	sentimentScore=2.087	numPositive=5	numNegative=1
bevvies	sentimentScore=2.087	numPositive=5	numNegative=1
#fridaynightlights	sentimentScore=2.087	numPositive=5	numNegative=1
#windows	sentimentScore=2.087	numPositive=5	numNegative=1
venison	sentimentScore=2.087	numPositive=10	numNegative=2
bonded	sentimentScore=2.087	numPositive=5	numNegative=1
#seo	sentimentScore=2.087	numPositive=5	numNegative=1
#tomorrowland	sentimentScore=2.087	numPositive=10	numNegative=2
limes	sentimentScore=2.087	numPositive=5	numNegative=1
mindblowing	sentimentScore=2.087	numPositive=5	numNegative=1
#gettingfat	sentimentScore=2.087	numPositive=5	numNegative=1
orioles	sentimentScore=2.087	numPositive=5	numNegative=1
m5	sentimentScore=2.087	numPositive=5	numNegative=1
olympia	sentimentScore=2.087	numPositive=5	numNegative=1
lianne	sentimentScore=2.087	numPositive=5	numNegative=1
#libra	sentimentScore=2.087	numPositive=10	numNegative=2
jakey	sentimentScore=2.087	numPositive=5	numNegative=1
@officiallygt	sentimentScore=2.087	numPositive=5	numNegative=1
#beyoncebowl	sentimentScore=2.087	numPositive=5	numNegative=1
saruman	sentimentScore=2.087	numPositive=5	numNegative=1
dazed	sentimentScore=2.087	numPositive=10	numNegative=2
yasss	sentimentScore=2.087	numPositive=5	numNegative=1
80th	sentimentScore=2.087	numPositive=5	numNegative=1
eagerly	sentimentScore=2.087	numPositive=5	numNegative=1
#perfectweather	sentimentScore=2.087	numPositive=5	numNegative=1
mmhmm	sentimentScore=2.087	numPositive=5	numNegative=1
#socool	sentimentScore=2.087	numPositive=10	numNegative=2
kickass	sentimentScore=2.087	numPositive=5	numNegative=1
@carlyraejepsen	sentimentScore=2.087	numPositive=10	numNegative=2
#sexandthecity	sentimentScore=2.087	numPositive=5	numNegative=1
happenin	sentimentScore=2.087	numPositive=5	numNegative=1
haiku	sentimentScore=2.087	numPositive=5	numNegative=1
nutcracker	sentimentScore=2.087	numPositive=15	numNegative=3
entries	sentimentScore=2.087	numPositive=5	numNegative=1
wentz	sentimentScore=2.087	numPositive=5	numNegative=1
@statmiester	sentimentScore=2.087	numPositive=5	numNegative=1
luckiest	sentimentScore=2.087	numPositive=20	numNegative=4
bloc	sentimentScore=2.087	numPositive=5	numNegative=1
#chennai	sentimentScore=2.087	numPositive=5	numNegative=1
verve	sentimentScore=2.087	numPositive=5	numNegative=1
#whoop	sentimentScore=2.087	numPositive=5	numNegative=1
pinnacle	sentimentScore=2.087	numPositive=5	numNegative=1
#hangovercure	sentimentScore=2.087	numPositive=10	numNegative=2
transforms	sentimentScore=2.087	numPositive=5	numNegative=1
redgrave	sentimentScore=2.087	numPositive=5	numNegative=1
#athletics	sentimentScore=2.087	numPositive=5	numNegative=1
tyrese	sentimentScore=2.087	numPositive=10	numNegative=2
#ggmu	sentimentScore=2.087	numPositive=5	numNegative=1
regarder	sentimentScore=2.087	numPositive=5	numNegative=1
eventing	sentimentScore=2.087	numPositive=5	numNegative=1
#nottingham	sentimentScore=2.087	numPositive=5	numNegative=1
pele	sentimentScore=2.087	numPositive=10	numNegative=2
#lovesit	sentimentScore=2.087	numPositive=5	numNegative=1
countryside	sentimentScore=2.087	numPositive=10	numNegative=2
#ianbeale	sentimentScore=2.087	numPositive=5	numNegative=1
#musical	sentimentScore=2.087	numPositive=10	numNegative=2
#eye	sentimentScore=2.087	numPositive=5	numNegative=1
#surprising	sentimentScore=2.087	numPositive=5	numNegative=1
#hottie	sentimentScore=2.087	numPositive=15	numNegative=3
conquering	sentimentScore=2.087	numPositive=5	numNegative=1
rudisha	sentimentScore=2.087	numPositive=5	numNegative=1
smoky	sentimentScore=2.087	numPositive=5	numNegative=1
tang	sentimentScore=2.087	numPositive=10	numNegative=2
#volleyball	sentimentScore=2.087	numPositive=10	numNegative=2
ost	sentimentScore=2.087	numPositive=5	numNegative=1
supremely	sentimentScore=2.087	numPositive=5	numNegative=1
litteraly	sentimentScore=2.087	numPositive=5	numNegative=1
#athlete	sentimentScore=2.087	numPositive=10	numNegative=2
#same	sentimentScore=2.087	numPositive=5	numNegative=1
pavilion	sentimentScore=2.087	numPositive=10	numNegative=2
polishes	sentimentScore=2.087	numPositive=5	numNegative=1
#heckyeah	sentimentScore=2.087	numPositive=5	numNegative=1
hobnobs	sentimentScore=2.087	numPositive=5	numNegative=1
@springsteen	sentimentScore=2.087	numPositive=5	numNegative=1
masquerade	sentimentScore=2.087	numPositive=5	numNegative=1
peanutbutter	sentimentScore=2.087	numPositive=10	numNegative=2
vry	sentimentScore=2.087	numPositive=5	numNegative=1
hemingway	sentimentScore=2.087	numPositive=5	numNegative=1
hospitality	sentimentScore=2.087	numPositive=15	numNegative=3
@mcflyharry	sentimentScore=2.087	numPositive=5	numNegative=1
#eyebrows	sentimentScore=2.087	numPositive=5	numNegative=1
hailey	sentimentScore=2.087	numPositive=10	numNegative=2
hoffman	sentimentScore=2.087	numPositive=5	numNegative=1
#teens	sentimentScore=2.087	numPositive=10	numNegative=2
ziti	sentimentScore=2.087	numPositive=5	numNegative=1
#space	sentimentScore=2.087	numPositive=5	numNegative=1
#dabangg2	sentimentScore=2.087	numPositive=5	numNegative=1
@mtrench	sentimentScore=2.087	numPositive=5	numNegative=1
#chinup	sentimentScore=2.087	numPositive=5	numNegative=1
#suit	sentimentScore=2.087	numPositive=5	numNegative=1
#kk	sentimentScore=2.087	numPositive=5	numNegative=1
woodchuck	sentimentScore=2.087	numPositive=5	numNegative=1
overdressed	sentimentScore=2.087	numPositive=5	numNegative=1
#100	sentimentScore=2.087	numPositive=5	numNegative=1
@asapofficial	sentimentScore=2.087	numPositive=5	numNegative=1
#games	sentimentScore=2.087	numPositive=5	numNegative=1
#boi	sentimentScore=2.087	numPositive=5	numNegative=1
#master	sentimentScore=2.087	numPositive=5	numNegative=1
#positivethinking	sentimentScore=2.087	numPositive=5	numNegative=1
havas	sentimentScore=2.087	numPositive=5	numNegative=1
bilbo	sentimentScore=2.087	numPositive=5	numNegative=1
vandross	sentimentScore=2.087	numPositive=5	numNegative=1
magnify	sentimentScore=2.087	numPositive=5	numNegative=1
@snoopdogg	sentimentScore=2.087	numPositive=5	numNegative=1
rasberry	sentimentScore=2.087	numPositive=5	numNegative=1
abundant	sentimentScore=2.087	numPositive=5	numNegative=1
burlesque	sentimentScore=2.087	numPositive=20	numNegative=4
#johnnydepp	sentimentScore=2.087	numPositive=5	numNegative=1
focuses	sentimentScore=2.087	numPositive=5	numNegative=1
@wondergirls	sentimentScore=2.087	numPositive=5	numNegative=1
ncis	sentimentScore=2.087	numPositive=10	numNegative=2
departed	sentimentScore=2.087	numPositive=5	numNegative=1
okra	sentimentScore=2.087	numPositive=5	numNegative=1
#unforgettable	sentimentScore=2.087	numPositive=5	numNegative=1
vergara	sentimentScore=2.087	numPositive=5	numNegative=1
#soundtrack	sentimentScore=2.087	numPositive=5	numNegative=1
@jaydensierra	sentimentScore=2.087	numPositive=5	numNegative=1
@parishilton	sentimentScore=2.087	numPositive=5	numNegative=1
#reunion	sentimentScore=2.087	numPositive=5	numNegative=1
#muslim	sentimentScore=2.087	numPositive=10	numNegative=2
regarde	sentimentScore=2.087	numPositive=5	numNegative=1
#notcomplaining	sentimentScore=2.087	numPositive=10	numNegative=2
#drake	sentimentScore=2.087	numPositive=15	numNegative=3
#icandothis	sentimentScore=2.087	numPositive=10	numNegative=2
cristiano	sentimentScore=2.087	numPositive=15	numNegative=3
mead	sentimentScore=2.087	numPositive=5	numNegative=1
alllllllll	sentimentScore=2.087	numPositive=5	numNegative=1
#earth	sentimentScore=2.087	numPositive=5	numNegative=1
#didyouknow	sentimentScore=2.087	numPositive=5	numNegative=1
#raylewis	sentimentScore=2.087	numPositive=5	numNegative=1
#lake	sentimentScore=2.087	numPositive=5	numNegative=1
massaged	sentimentScore=2.087	numPositive=5	numNegative=1
burgh	sentimentScore=2.087	numPositive=5	numNegative=1
invitations	sentimentScore=2.087	numPositive=5	numNegative=1
krispies	sentimentScore=2.087	numPositive=5	numNegative=1
@chanel	sentimentScore=2.087	numPositive=5	numNegative=1
instrumentals	sentimentScore=2.087	numPositive=5	numNegative=1
#thingsiliketodo	sentimentScore=2.087	numPositive=5	numNegative=1
#moon	sentimentScore=2.087	numPositive=5	numNegative=1
swirls	sentimentScore=2.087	numPositive=5	numNegative=1
merle	sentimentScore=2.087	numPositive=5	numNegative=1
aand	sentimentScore=2.087	numPositive=5	numNegative=1
tote	sentimentScore=2.087	numPositive=10	numNegative=2
campers	sentimentScore=2.087	numPositive=5	numNegative=1
tudors	sentimentScore=2.087	numPositive=5	numNegative=1
#daughter	sentimentScore=2.087	numPositive=5	numNegative=1
mastery	sentimentScore=2.087	numPositive=5	numNegative=1
deschanel	sentimentScore=2.087	numPositive=10	numNegative=2
#shesperfect	sentimentScore=2.087	numPositive=5	numNegative=1
lovley	sentimentScore=2.087	numPositive=5	numNegative=1
suga	sentimentScore=2.087	numPositive=5	numNegative=1
brisk	sentimentScore=2.087	numPositive=10	numNegative=2
#shorts	sentimentScore=2.087	numPositive=5	numNegative=1
basterds	sentimentScore=2.087	numPositive=10	numNegative=2
#best2012memories	sentimentScore=2.087	numPositive=5	numNegative=1
congratulation	sentimentScore=2.087	numPositive=5	numNegative=1
#drive	sentimentScore=2.087	numPositive=5	numNegative=1
@jeremypiven	sentimentScore=2.087	numPositive=5	numNegative=1
walnuts	sentimentScore=2.087	numPositive=10	numNegative=2
#bowtie	sentimentScore=2.087	numPositive=5	numNegative=1
xabi	sentimentScore=2.087	numPositive=5	numNegative=1
143	sentimentScore=2.087	numPositive=5	numNegative=1
#psychology	sentimentScore=2.087	numPositive=5	numNegative=1
#humility	sentimentScore=2.087	numPositive=5	numNegative=1
#voice	sentimentScore=2.087	numPositive=15	numNegative=3
#lovingit	sentimentScore=2.087	numPositive=10	numNegative=2
#cannotwait	sentimentScore=2.087	numPositive=5	numNegative=1
#bestmemoriesof2012	sentimentScore=2.087	numPositive=5	numNegative=1
rooftop	sentimentScore=2.087	numPositive=15	numNegative=3
#justwhatineeded	sentimentScore=2.087	numPositive=10	numNegative=2
coraline	sentimentScore=2.087	numPositive=5	numNegative=1
@yohanblake	sentimentScore=2.087	numPositive=5	numNegative=1
bluegrass	sentimentScore=2.087	numPositive=5	numNegative=1
#growing	sentimentScore=2.087	numPositive=5	numNegative=1
#points	sentimentScore=2.087	numPositive=5	numNegative=1
^___^	sentimentScore=2.087	numPositive=5	numNegative=1
#jamesbond	sentimentScore=2.087	numPositive=10	numNegative=2
@justinpywell	sentimentScore=2.087	numPositive=5	numNegative=1
#jewelry	sentimentScore=2.087	numPositive=5	numNegative=1
kingsley	sentimentScore=2.087	numPositive=5	numNegative=1
covent	sentimentScore=2.087	numPositive=10	numNegative=2
#nocomplaints	sentimentScore=2.087	numPositive=5	numNegative=1
#sofa	sentimentScore=2.087	numPositive=5	numNegative=1
prodigy	sentimentScore=2.087	numPositive=5	numNegative=1
courteeners	sentimentScore=2.087	numPositive=5	numNegative=1
mayers	sentimentScore=2.087	numPositive=5	numNegative=1
@wizkhalifa	sentimentScore=2.087	numPositive=5	numNegative=1
mana	sentimentScore=2.087	numPositive=5	numNegative=1
@tylerbaltierra	sentimentScore=2.087	numPositive=5	numNegative=1
@zendaya96	sentimentScore=2.087	numPositive=5	numNegative=1
#flying	sentimentScore=2.087	numPositive=5	numNegative=1
bookbag	sentimentScore=2.087	numPositive=5	numNegative=1
@mcflymusic	sentimentScore=2.087	numPositive=5	numNegative=1
#optimist	sentimentScore=2.087	numPositive=5	numNegative=1
iceskating	sentimentScore=2.087	numPositive=5	numNegative=1
#newobsession	sentimentScore=2.087	numPositive=5	numNegative=1
baftas	sentimentScore=2.087	numPositive=5	numNegative=1
#shine	sentimentScore=2.087	numPositive=5	numNegative=1
meadows	sentimentScore=2.087	numPositive=5	numNegative=1
#pink	sentimentScore=2.087	numPositive=20	numNegative=4
@reecemastin	sentimentScore=2.087	numPositive=5	numNegative=1
impresses	sentimentScore=2.087	numPositive=5	numNegative=1
niceee	sentimentScore=2.087	numPositive=5	numNegative=1
rebate	sentimentScore=2.087	numPositive=20	numNegative=4
duets	sentimentScore=2.087	numPositive=5	numNegative=1
hovered	sentimentScore=2.087	numPositive=5	numNegative=1
#newme	sentimentScore=2.087	numPositive=5	numNegative=1
#topnight	sentimentScore=2.087	numPositive=5	numNegative=1
#muchneeded	sentimentScore=2.087	numPositive=25	numNegative=5
#dragqueen	sentimentScore=2.087	numPositive=5	numNegative=1
#date	sentimentScore=2.087	numPositive=5	numNegative=1
moet	sentimentScore=2.087	numPositive=5	numNegative=1
@lolzmolz	sentimentScore=2.087	numPositive=5	numNegative=1
7+	sentimentScore=2.087	numPositive=5	numNegative=1
#sport	sentimentScore=2.087	numPositive=5	numNegative=1
sleeeep	sentimentScore=2.087	numPositive=5	numNegative=1
snapper	sentimentScore=2.087	numPositive=5	numNegative=1
frock	sentimentScore=2.087	numPositive=5	numNegative=1
clifton	sentimentScore=2.087	numPositive=5	numNegative=1
#personality	sentimentScore=2.087	numPositive=5	numNegative=1
@keithurban	sentimentScore=2.087	numPositive=5	numNegative=1
intriguing	sentimentScore=2.087	numPositive=5	numNegative=1
#brotherhood	sentimentScore=2.087	numPositive=5	numNegative=1
#goodness	sentimentScore=2.087	numPositive=5	numNegative=1
#outlook	sentimentScore=2.087	numPositive=5	numNegative=1
anaheim	sentimentScore=2.087	numPositive=5	numNegative=1
meditate	sentimentScore=2.087	numPositive=5	numNegative=1
bohemian	sentimentScore=2.087	numPositive=40	numNegative=8
boardmasters	sentimentScore=2.087	numPositive=5	numNegative=1
@anniemacdj	sentimentScore=2.087	numPositive=10	numNegative=2
reloaded	sentimentScore=2.087	numPositive=5	numNegative=1
#kissyou	sentimentScore=2.087	numPositive=5	numNegative=1
#peopleihaveseenlive	sentimentScore=2.087	numPositive=5	numNegative=1
stiches	sentimentScore=2.087	numPositive=5	numNegative=1
hootie	sentimentScore=2.087	numPositive=5	numNegative=1
#ok	sentimentScore=2.087	numPositive=75	numNegative=15
#beyou	sentimentScore=2.087	numPositive=5	numNegative=1
unbeatable	sentimentScore=2.087	numPositive=10	numNegative=2
sess	sentimentScore=2.087	numPositive=5	numNegative=1
alwayz	sentimentScore=2.087	numPositive=5	numNegative=1
#neverstop	sentimentScore=2.087	numPositive=5	numNegative=1
@melanielbbh	sentimentScore=2.087	numPositive=5	numNegative=1
tiki	sentimentScore=2.087	numPositive=5	numNegative=1
#lifestyle	sentimentScore=2.087	numPositive=10	numNegative=2
#bright	sentimentScore=2.087	numPositive=5	numNegative=1
lizzy	sentimentScore=2.087	numPositive=5	numNegative=1
#onesie	sentimentScore=2.087	numPositive=5	numNegative=1
@djafrojack	sentimentScore=2.087	numPositive=5	numNegative=1
fettuccine	sentimentScore=2.087	numPositive=5	numNegative=1
coincidentally	sentimentScore=2.087	numPositive=5	numNegative=1
brolly	sentimentScore=2.087	numPositive=5	numNegative=1
weeee	sentimentScore=2.087	numPositive=5	numNegative=1
tine	sentimentScore=2.087	numPositive=5	numNegative=1
#diving	sentimentScore=2.087	numPositive=5	numNegative=1
rarest	sentimentScore=2.087	numPositive=5	numNegative=1
#lovinit	sentimentScore=2.087	numPositive=10	numNegative=2
#talaash	sentimentScore=2.087	numPositive=5	numNegative=1
whist	sentimentScore=2.087	numPositive=5	numNegative=1
@tinietempah	sentimentScore=2.087	numPositive=5	numNegative=1
@francisboulle	sentimentScore=2.087	numPositive=15	numNegative=3
@daniellepeazer	sentimentScore=2.087	numPositive=5	numNegative=1
#nodaysoff	sentimentScore=2.087	numPositive=5	numNegative=1
thyme	sentimentScore=2.087	numPositive=5	numNegative=1
#bossy	sentimentScore=2.087	numPositive=5	numNegative=1
@beckadlington	sentimentScore=2.087	numPositive=5	numNegative=1
pedicures	sentimentScore=2.087	numPositive=20	numNegative=4
#favoriteband	sentimentScore=2.087	numPositive=5	numNegative=1
@brantleygilbert	sentimentScore=2.087	numPositive=5	numNegative=1
fleet	sentimentScore=2.087	numPositive=10	numNegative=2
#trends	sentimentScore=2.087	numPositive=5	numNegative=1
kimora	sentimentScore=2.087	numPositive=5	numNegative=1
#victoriassecret	sentimentScore=2.087	numPositive=5	numNegative=1
moring	sentimentScore=2.087	numPositive=5	numNegative=1
clara	sentimentScore=2.087	numPositive=5	numNegative=1
#thedarkknightrises	sentimentScore=2.087	numPositive=5	numNegative=1
#ladygaga	sentimentScore=2.087	numPositive=5	numNegative=1
riri	sentimentScore=2.087	numPositive=5	numNegative=1
dior	sentimentScore=2.087	numPositive=15	numNegative=3
#wishes	sentimentScore=2.087	numPositive=5	numNegative=1
avon	sentimentScore=2.087	numPositive=10	numNegative=2
mignon	sentimentScore=2.087	numPositive=10	numNegative=2
#firstclass	sentimentScore=2.087	numPositive=5	numNegative=1
poets	sentimentScore=2.087	numPositive=5	numNegative=1
weymouth	sentimentScore=2.087	numPositive=10	numNegative=2
@michaelmuhney	sentimentScore=2.087	numPositive=5	numNegative=1
draught	sentimentScore=2.087	numPositive=5	numNegative=1
woohooo	sentimentScore=2.087	numPositive=5	numNegative=1
rippin	sentimentScore=2.087	numPositive=10	numNegative=2
combining	sentimentScore=2.087	numPositive=5	numNegative=1
#embrace	sentimentScore=2.087	numPositive=5	numNegative=1
#missedyou	sentimentScore=2.087	numPositive=5	numNegative=1
jumanji	sentimentScore=2.087	numPositive=5	numNegative=1
pucker	sentimentScore=2.087	numPositive=5	numNegative=1
iba	sentimentScore=2.087	numPositive=5	numNegative=1
homeworks	sentimentScore=2.087	numPositive=5	numNegative=1
kopparberg	sentimentScore=2.087	numPositive=10	numNegative=2
@sanyarichiross	sentimentScore=2.087	numPositive=5	numNegative=1
inspires	sentimentScore=2.087	numPositive=10	numNegative=2
tutti	sentimentScore=2.087	numPositive=5	numNegative=1
#followfriday	sentimentScore=2.087	numPositive=10	numNegative=2
#imfine	sentimentScore=2.087	numPositive=5	numNegative=1
loooooong	sentimentScore=2.087	numPositive=5	numNegative=1
mahogany	sentimentScore=2.087	numPositive=5	numNegative=1
poehler	sentimentScore=2.087	numPositive=5	numNegative=1
lima	sentimentScore=2.087	numPositive=10	numNegative=2
ros	sentimentScore=2.087	numPositive=25	numNegative=5
familia	sentimentScore=2.087	numPositive=5	numNegative=1
virat	sentimentScore=2.087	numPositive=5	numNegative=1
#chilled	sentimentScore=2.087	numPositive=15	numNegative=3
foxx	sentimentScore=2.087	numPositive=20	numNegative=4
calhoun	sentimentScore=2.087	numPositive=5	numNegative=1
definitley	sentimentScore=2.087	numPositive=5	numNegative=1
scherzinger	sentimentScore=2.087	numPositive=5	numNegative=1
ciders	sentimentScore=2.087	numPositive=5	numNegative=1
bergen	sentimentScore=2.087	numPositive=5	numNegative=1
lazing	sentimentScore=2.087	numPositive=5	numNegative=1
yow	sentimentScore=2.087	numPositive=5	numNegative=1
fillets	sentimentScore=2.087	numPositive=5	numNegative=1
gabbana	sentimentScore=2.087	numPositive=5	numNegative=1
marshmellows	sentimentScore=2.087	numPositive=10	numNegative=2
rizzle	sentimentScore=2.087	numPositive=5	numNegative=1
#indigenous	sentimentScore=2.087	numPositive=5	numNegative=1
@beatricemiller	sentimentScore=2.087	numPositive=5	numNegative=1
skyped	sentimentScore=2.087	numPositive=5	numNegative=1
@iancrocker1	sentimentScore=2.087	numPositive=5	numNegative=1
#bringit	sentimentScore=2.087	numPositive=5	numNegative=1
#arab	sentimentScore=2.087	numPositive=5	numNegative=1
concepts	sentimentScore=2.087	numPositive=10	numNegative=2
@dannyboylefilm	sentimentScore=2.087	numPositive=5	numNegative=1
#thrilling	sentimentScore=2.087	numPositive=5	numNegative=1
houdini	sentimentScore=2.087	numPositive=5	numNegative=1
detect	sentimentScore=2.087	numPositive=5	numNegative=1
bww	sentimentScore=2.087	numPositive=5	numNegative=1
biddies	sentimentScore=2.087	numPositive=5	numNegative=1
#hardworking	sentimentScore=2.087	numPositive=5	numNegative=1
@bethenny	sentimentScore=2.087	numPositive=5	numNegative=1
#bob	sentimentScore=2.087	numPositive=5	numNegative=1
#hairflip	sentimentScore=2.087	numPositive=5	numNegative=1
#italian	sentimentScore=2.087	numPositive=10	numNegative=2
#worldrecord	sentimentScore=2.087	numPositive=5	numNegative=1
#mexican	sentimentScore=2.087	numPositive=5	numNegative=1
lous	sentimentScore=2.087	numPositive=5	numNegative=1
#bucketlist	sentimentScore=2.087	numPositive=10	numNegative=2
#bridesmaids	sentimentScore=2.087	numPositive=5	numNegative=1
#shahs	sentimentScore=2.087	numPositive=5	numNegative=1
congratulations	sentimentScore=2.078	numPositive=223	numNegative=45
#cool	sentimentScore=2.077	numPositive=183	numNegative=37
depp	sentimentScore=2.058	numPositive=34	numNegative=7
#adorable	sentimentScore=2.058	numPositive=34	numNegative=7
